NC_048128.1_Alphalipothrixvirus_SBFV2_Sulfolobales_Beppu_filamentous_virus_2_clone_B,_partial_genome	NC_030884.1	3540	3566	24	38091
NC_048128.1_Alphalipothrixvirus_SBFV2_Sulfolobales_Beppu_filamentous_virus_2_clone_B,_partial_genome	NC_030884.1	16330	16367	32	38091
NC_048128.1_Alphalipothrixvirus_SBFV2_Sulfolobales_Beppu_filamentous_virus_2_clone_B,_partial_genome	NC_030884.1	24818	24843	23	38091
NC_048128.1_Alphalipothrixvirus_SBFV2_Sulfolobales_Beppu_filamentous_virus_2_clone_B,_partial_genome	NC_030884.1	34204	34221	18	38091
NC_048128.1_Alphalipothrixvirus_SBFV2_Sulfolobales_Beppu_filamentous_virus_2_clone_B,_partial_genome	NC_030884.1	7419	7446	24	38091
NC_048128.1_Alphalipothrixvirus_SBFV2_Sulfolobales_Beppu_filamentous_virus_2_clone_B,_partial_genome	NC_030884.1	37141	37185	35	38091
NC_048128.1_Alphalipothrixvirus_SBFV2_Sulfolobales_Beppu_filamentous_virus_2_clone_B,_partial_genome	NC_030884.1	3580	3596	17	38091
NC_048128.1_Alphalipothrixvirus_SBFV2_Sulfolobales_Beppu_filamentous_virus_2_clone_B,_partial_genome	NC_030884.1	34199	34230	26	38091
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	35460	35491	27	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	2965	2998	28	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	37167	37192	23	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	120	145	23	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	9472	9519	37	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	2298	2334	31	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	2774	2857	61	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	2800	2828	26	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	14757	14789	27	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	5108	5132	22	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	33111	33130	19	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	14885	14901	17	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	12053	12094	32	37311
NC_048037.1_Alphalipothrixvirus_SFV1_Sulfolobus_filamentous_virus_1_isolate_S48,_complete_genome	NC_030884.1	3472	3508	29	37311
